"A","B","C","D","Std"
"Dusuk","Kisa","Dusuk","Dusuk",1
"Yuksek","Kisa","Dusuk","Dusuk",2
"Dusuk","Uzun","Dusuk","Dusuk",3
"Yuksek","Uzun","Dusuk","Dusuk",4
"Dusuk","Kisa","Yuksek","Dusuk",5
"Yuksek","Kisa","Yuksek","Dusuk",6
"Dusuk","Uzun","Yuksek","Dusuk",7
"Yuksek","Uzun","Yuksek","Dusuk",8
"Dusuk","Kisa","Dusuk","Yuksek",9
"Yuksek","Kisa","Dusuk","Yuksek",10
"Dusuk","Uzun","Dusuk","Yuksek",11
"Yuksek","Uzun","Dusuk","Yuksek",12
"Dusuk","Kisa","Yuksek","Yuksek",13
"Yuksek","Kisa","Yuksek","Yuksek",14
"Dusuk","Uzun","Yuksek","Yuksek",15
"Yuksek","Uzun","Yuksek","Yuksek",16
